Position - Rx,Position - Tx,Velocity - Rx,Velocity - Tx,Time Initial,Time Final,Time Communication,Distance,Relative Speed,Direction Rx,Direction Tx,Pseudo-angle,Link Lifetime,Time Prediction,A,B,C,Route
8469.37,8557.48,7.0,7.0,6.62948,25.1618,19.0,100.0,0.557938,108,104,6.0,100.0,-81.46768,0.311295,34.8528,-51860.5,3.0
8465.13,8575.32,5.0,5.0,5.82055,21.1872,15.0,150.0,10.1222,116,-86,7.0,39.0826,-23.71595,102.459,-2988.33,-39709.4,1.0
8489.75,8372.72,13.0,11.0,9.12206,13.2797,4.0,120.0,23.8649,104,-80,2.0,5.64027,-1.4826299999999994,569.531,5367.15,-48390.5,2.0
8574.03,8446.86,11.0,11.0,8.69035,13.1431,4.0,130.0,21.971,104,-83,2.0,5.63932,-1.1865699999999997,482.723,5417.47,-45902.4,2.0
8552.1,8553.41,5.0,5.0,5.66978,25.2725,20.0,0.0,1.29064,104,90,4.0,100.0,-80.39728000000002,1.66575,11.5808,-62478.9,3.0
8552.36,8464.78,5.0,5.0,5.72682,25.1152,19.0,100.0,1.17071,104,116,2.0,100.0,-80.61162,1.37057,76.1623,-51903.3,3.0
8566.95,8562.96,9.0,10.0,7.94217,16.0227,8.0,30.0,18.4068,103,-73,8.0,14.0785,-5.9979700000000005,338.8119999999999,-383.487,-61755.1,1.0
8553.28,8574.8,5.0,5.0,5.92574,17.1174,11.0,50.0,10.5603,104,-86,7.0,27.2285,-16.036839999999998,111.52,-845.908,-59647.4,1.0
8565.66,8676.87,9.0,11.0,7.77283,25.0065,17.0,140.0,3.29366,103,119,6.0,44.3924,-27.15873,10.8482,511.589,-44089.0,2.0
11281.3,11071.7,6.0,9.0,5.69029,25.2305,20.0,210.0,2.76194,-96,-96,2.0,14.5876,4.952609999999998,7.62833,1157.56,-18509.3,2.0
11250.0,11128.2,13.0,13.0,9.13632,21.3192,12.0,130.0,25.4099,-96,83,2.0,14.6099,-2.4270200000000006,645.661,-6249.58,-46510.3,1.0
8182.68,8281.56,12.0,9.0,8.84116,14.0793,5.0,100.0,21.0048,-77,106,6.0,7.827669999999999,-2.5895300000000008,441.203,3258.02,-52536.2,2.0
8208.6,8051.84,6.0,4.0,5.87111,25.179,19.0,190.0,2.0465,-77,-72,2.0,100.0,-80.69211,4.18815,-740.5989999999997,-28082.1,1.0
8184.06,8376.33,12.0,9.0,8.712860000000001,25.4859,17.0,220.0,3.23395,-77,-80,6.0,9.76515,7.0078900000000015,10.4585,1401.73,-14685.4,2.0
11630.5,11650.3,5.0,8.0,5.5179800000000006,25.0302,20.0,50.0,10.7426,90,-21,4.0,20.6838,-1.1715800000000025,115.404,504.56300000000016,-59808.0,1.0
11646.2,11544.7,6.0,12.0,8.742460000000001,25.3212,17.0,140.0,10.5501,22,83,3.0,36.6359,-20.05716,111.306,-2923.79,-42277.7,1.0
11647.1,11651.7,9.0,10.0,9.02282,25.1774,16.0,160.0,14.9071,18,-90,4.0,18.5261,-2.3715200000000003,222.222,-2092.54,-37503.4,1.0
8577.38,8664.57,6.0,6.0,5.91029,12.0233,6.0,90.0,11.6106,-73,115,6.0,13.8837,-7.770689999999997,134.805,2022.57,-54065.3,2.0
7534.14,7525.04,8.0,8.0,6.6859699999999975,25.0979,18.0,70.0,15.3301,46,-105,3.0,15.8507,2.5612299999999983,235.012,-87.7128,-57655.3,2.0
7541.36,7583.91,9.0,11.0,7.5648399999999985,21.1632,14.0,90.0,6.15813,67,102,4.0,52.5354,-38.93704,37.9225,-959.867,-54238.0,1.0
7535.36,7495.22,8.0,6.0,6.84969,25.0279,18.0,70.0,12.5199,46,179,3.0,19.7889,-1.6106900000000015,156.747,-176.236,-57895.1,2.0
7527.77,7536.24,6.0,4.0,5.7523,25.0231,19.0,170.0,8.84661,47,180,4.0,38.2305,-18.9597,78.2624,-2084.14,-34708.6,2.0
7533.76,7555.73,8.0,4.0,6.63437,25.1737,19.0,30.0,6.08138,46,0,5.0,44.1803,-25.64097000000001,36.9832,-238.778,-61638.2,1.0
8569.56,8467.9,7.0,10.0,6.72294,24.2601,18.0,110.0,3.2342,-83,-78,2.0,43.3928,-25.85564,10.4601,699.62,-50054.0,2.0
8575.34,8554.17,5.0,5.0,5.81605,25.2743,19.0,60.0,10.7243,-86,90,3.0,26.3613,-6.90305,115.011,-788.335,-59141.9,1.0
8546.01,8550.17,13.0,14.0,9.21312,25.4425,16.0,10.0,1.2241799999999998,-83,-78,4.0,100.0,-83.77062000000002,1.49861,22.3277,-62400.9,2.0
8569.21,8669.58,7.0,8.0,6.77413,12.0287,5.0,110.0,15.3469,-83,118,6.0,9.6258,-4.3712300000000015,235.526,3080.35,-51473.8,2.0
8547.1,8372.71,13.0,11.0,9.12374,25.4882,16.0,200.0,1.94127,-83,-80,2.0,100.0,-83.63553999999998,3.76852,-720.132,-23101.1,1.0
10805.2,10658.0,12.0,15.0,9.03392,20.0044,11.0,160.0,27.1365,-82,83,2.0,14.8091,-3.8386200000000006,736.388,-8443.25,-36459.6,1.0
10803.2,10937.6,12.0,16.0,9.20651,12.0271,3.0,140.0,28.7275,-82,89,5.0,4.06612,-1.2455299999999987,825.268,7035.36,-42251.0,2.0
10818.7,10755.8,10.0,10.0,7.8313,25.3945,18.0,60.0,0.571225,-97,-96,2.0,100.0,-82.4368,0.326298,68.4974,-58543.8,3.0
10804.2,10716.4,12.0,12.0,9.12304,25.361,16.0,90.0,3.18059,-82,-97,2.0,77.3106,-61.07263999999999,10.1161,-73.3356,-54793.8,3.0
10804.5,10958.8,12.0,13.0,9.09317,25.4276,16.0,150.0,4.24798,-82,-101,6.0,58.4759,-42.14147,18.0453,-393.671,-38684.5,1.0
