Position - Rx,Position - Tx,Velocity - Rx,Velocity - Tx,Time Initial,Time Final,Time Communication,Distance,Relative Speed,Direction Rx,Direction Tx,Pseudo-angle,Link Lifetime,Time Prediction,A,B,C,Route
3970.0,3976.11,14.0,11.0,10.9784,18.5697,8.0,120.0,17.7228,151,-118,2.7,7.2794300000000005,0.3118700000000008,314.098,4234.0,-47465.2,2.0
3189.75,3282.51,10.0,0.0,14.6409,18.0928,3.0,230.0,9.59998,-118,63,6.2,2.76172,0.6901800000000002,92.1596,3312.66,-9851.57,2.0
3182.54,3026.64,11.0,11.0,15.407,30.2267,15.0,180.0,22.39,-118,61,1.5,19.1839,-4.3642,501.31199999999995,-8043.47,-30189.1,1.0
3934.32,3845.2,13.0,9.0,10.8368,30.2316,19.0,130.0,16.3845,-28,-122,1.8,11.0896,8.3052,268.45,1066.13,-44836.9,2.0
3947.9,3952.18,6.0,11.0,13.4071,30.1163,17.0,10.0,12.6761,-28,-117,3.2,20.0134,-3.3042000000000016,160.685,-100.568,-62347.6,2.0
3950.47,3949.03,2.0,13.0,14.979000000000001,30.1436,15.0,150.0,14.29,-28,151,2.6,25.7613,-10.596699999999998,204.204,-3742.86,-39097.5,1.0
3897.56,3952.05,8.0,11.0,13.4212,30.1169,17.0,120.0,13.6049,-28,-117,3.4,21.6747,-4.978999999999999,185.092,-1750.73,-49008.4,2.0
3170.48,2984.04,11.0,10.0,15.2836,30.1681,15.0,190.0,14.972000000000001,-118,-28,0.8,27.875,-12.9905,224.16099999999997,-5256.17,-27660.4,1.0
3182.44,3233.44,11.0,0.0,14.1319,30.2733,16.0,50.0,11.13,-118,0,5.2,17.8834,-1.7420000000000044,123.87700000000001,1130.06,-59827.3,1.0
3176.92,3282.51,11.0,0.0,14.6606,28.2276,14.0,170.0,11.21,-118,63,3.8,12.7394,0.8275999999999986,125.663,1144.66,-34976.6,1.0
3082.3,3168.3,13.0,11.0,15.4594,30.4018,15.0,90.0,17.3435,-28,63,4.1,14.7102,0.23220000000000066,300.798,-695.941,-54852.1,2.0
2992.62,3101.5,0.0,0.0,15.7763,30.3139,15.0,150.0,0.16,-117,0,5.5,100.0,-85.4624,0.0256,46.6167,-41270.7,1.0
3032.6,2984.05,9.0,10.0,15.285,30.1719,15.0,200.0,11.1609,-97,-28,2.5,12.2893,2.5976,124.566,381.781,-23504.7,1.0
3047.61,2926.82,9.0,11.0,13.2154,30.0315,17.0,150.0,1.57057,-97,-97,1.9,61.2221,-44.40600000000001,2.4666799999999998,483.092,-38821.4,2.0
2331.94,2324.25,10.0,10.0,10.3677,28.6909,18.0,170.0,20.0998,-28,151,2.7,19.4433,-1.1201000000000008,404.004,-6177.52,-32618.9,1.0
3940.12,3810.31,3.0,11.0,14.4636,30.2322,16.0,130.0,11.1817,151,-118,0.3,14.285,1.4835999999999991,125.031,1331.38,-44532.7,2.0
3939.19,3949.03,3.0,13.0,14.98,30.1443,15.0,30.0,9.23,151,151,3.1,30.2526,-15.0883,85.193,-541.146,-61599.4,1.0
3936.33,3809.85,0.0,11.0,14.5143,30.2327,16.0,130.0,10.62,0,-118,0.3,13.2436,2.4748,112.78399999999999,1935.25,-45411.3,2.0
3937.0,3964.5,2.0,11.0,12.1483,30.1175,18.0,130.0,11.5334,150,-118,6.3,29.2459,-11.276699999999998,133.019,-2333.13,-45539.7,1.0
3936.33,3949.02,0.0,13.0,14.9806,30.1449,15.0,30.0,12.69,0,151,3.3,22.0281,-6.8638,161.036,-750.165,-61616.1,1.0
