Position - Rx,Position - Tx,Velocity - Rx,Velocity - Tx,Time Initial,Time Final,Time Communication,Distance,Relative Speed,Direction Rx,Direction Tx,Pseudo-angle,Link Lifetime,Time Prediction,A,B,C
10803.2,10937.6,12.45,16.35,9.20651,12.0271,2.820590000000001,142.299,28.7275, -82, 89,5.47009,4.06612,-1.2455299999999987,825.268,7035.36,-42251.0
10818.7,10755.8,9.87,10.42,7.8313,25.3945,17.563200000000002,62.8985,0.571225, -97, -96,1.85003,100.0,-82.4368,0.326298,68.4974,-58543.8
10804.2,10716.4,12.45,11.6,9.12304,25.361,16.23796,87.7851,3.18059, -82, -97,1.86333,77.3106,-61.07263999999999,10.1161,-73.3356,-54793.8
10791.2,11047.0,14.51,13.91,10.1696,11.2376,1.0679999999999996,255.829,1.2275, -103, -99,5.84144,100.0,-98.932,1.50676,283.925,2948.49
10804.5,10958.8,12.45,13.2,9.09317,25.4276,16.33443,154.323,4.24798, -82, -101,5.83339,58.4759,-42.14147,18.0453,-393.671,-38684.5
10807.7,10876.5,11.38,9.83,8.82031,25.0424,16.22209,68.8333,1.58595, -97, -98,5.86529,100.0,-83.77790999999999,2.51525,213.64,-57762.0
7576.69,7525.03,8.22,7.69,6.68712,21.0722,14.385079999999999,54.3626,15.4293, 102, -105,1.21126,13.2579,1.1271799999999992,238.062,1335.05,-59544.7
7594.4,7560.26,12.6,8.37,8.62279,20.0466,11.423810000000001,54.8935,16.5793, 102, 0,0.334753,16.0973,-4.673489999999999,274.874,-729.304,-59486.7
11515.9,11632.3,6.21,5.69,5.91492,21.1637,15.248779999999998,122.929,11.7186, 83, -76,6.17975,31.695,-16.446220000000004,137.326,-2857.42,-47388.4
11531.7,11661.1,10.67,5.7,7.62601,25.178,17.55199,141.089,15.8766, 83, -67,5.36591,22.0759,-4.523910000000001,252.067,-3635.19,-42593.8
11516.4,11627.2,6.21,5.0,5.98963,25.3468,19.357170000000004,118.799,9.21077, 83, -166,5.42233,39.8818,-20.524629999999995,84.8383,-2170.24,-48386.9
8688.62,8577.86,15.33,13.52,9.07327,25.3164,16.24313,138.066,5.2431, 123, 103,2.38542,32.7269,-16.48377,27.4901,427.614,-43437.8
8685.4,8555.36,13.01,11.16,8.7318,12.1372,3.4054,144.247,23.9355, 119, -76,2.17824,4.47225,-1.0668499999999996,572.909,6760.35,-41692.7
8669.55,8569.24,8.32,7.31,6.76939,12.049,5.27961,104.936,15.3469, 118, -83,2.02683,9.63054,-4.35093,235.526,3078.12,-51488.4
11650.7,11642.4,9.79,5.41,9.12527,25.0363,15.91103,102.903,4.70085, -90, -76,7.92667,53.0524,-37.141369999999995,22.098,-193.868,-51910.9
11666.7,11632.1,5.49,5.69,5.94357,24.2499,18.30633,94.1152,6.57342, -4, -76,0.227649,25.7022,-7.395870000000002,43.2099,976.486,-53642.3
11653.8,11544.7,7.55,12.14,8.74047,25.3218,16.58133,123.923,19.6498, -89, 83,1.24099,17.5116,-0.9302700000000002,386.114,-4069.39,-47143.1
11619.0,11610.3,9.71,11.86,8.67069,22.3017,13.63101,56.3723,14.6148, -179, -94,0.00371109,19.1184,-5.487390000000001,213.593,-980.678,-59322.2
11620.6,11642.7,7.8,5.1,7.77793,25.162,17.38407,140.042,10.936, -171, 74,7.68199,28.5117,-11.12763,119.595,-1905.63,-42888.2
11620.9,11532.4,7.8,10.67,7.68769,25.323,17.63531,94.9111,14.8113, -171, 83,1.42069,23.2167,-5.581389999999999,219.374,-2789.1,-53491.9
11618.4,11651.3,11.33,9.79,9.05611,25.1799,16.12379,49.4605,14.9649, 179, -90,4.64426,15.4787,0.6450899999999997,223.948,413.328,-60053.7
10746.7,10653.2,10.84,13.28,8.67609,19.1416,10.46551,114.19,24.1041, -92, 83,2.49093,14.1665,-3.700989999999999,581.006,-4739.41,-49460.6
10740.3,10802.7,12.27,12.45,9.24843,25.3358,16.08737,62.3492,0.187756, -82, -82,5.86572,100.0,-83.91263000000001,0.0352524,-23.406,-58612.6
10742.4,10966.4,12.27,9.66,9.0688,15.2433,6.1745,224.022,5.06635, -82, -105,5.87088,9.67007,-3.4955700000000007,25.6679,1025.22,-12314.2
10755.9,10885.9,10.42,7.36,7.8152,25.0508,17.235599999999998,129.985,3.09728, -96, -99,5.85532,39.0278,-21.7922,9.59315,794.099,-45603.9
10718.9,10806.9,10.2,11.38,8.88777,25.3412,16.45343,87.9768,1.18014, -97, -97,5.86786,100.0,-83.54657,1.39273,-207.601,-54760.1
10716.7,10742.1,11.6,12.27,9.09758,25.3951,16.29752,25.4185,3.16551, -97, -82,5.8607,79.1317,-62.834179999999996,10.0205,-11.2779,-61853.9
10728.6,10593.3,8.65,6.88,7.93411,20.0268,12.092690000000001,150.428,15.5248, -97, 85,2.30865,24.5558,-12.46311,241.02,-4294.74,-39871.3
10965.1,10937.6,9.66,16.35,9.2077,19.1913,9.983599999999997,58.457,25.8145, -105, 89,3.25246,10.6369,-0.6533000000000033,666.391,-1533.78,-59082.8
10965.7,11128.2,9.66,12.55,9.13799,12.0638,2.9258100000000002,166.155,22.1437, -105, 83,5.61914,3.82899,-0.9031799999999999,490.342,7235.16,-34892.4
10969.2,10746.1,8.24,10.84,8.73208,14.0394,5.307320000000001,223.122,4.01685, -110, -92,1.86592,9.1986,-3.89128,16.135,1234.01,-12716.4
10968.2,10961.6,8.24,10.63,8.85512,25.4282,16.57308,8.96733,2.83839, -110, -101,2.66475,85.048,-68.47492,8.05648,48.7469,-62419.6
11060.6,11031.1,12.46,15.81,9.10085,25.231,16.13015,29.4862,3.43706, -96, -99,1.85486,64.3479,-48.217749999999995,11.8134,197.605,-61630.6
11059.3,10937.6,12.46,16.35,9.20824,20.2384,11.030159999999999,129.169,28.7751, -96, 89,2.19215,12.9703,-1.9401400000000013,828.006,-7207.14,-45815.5
11060.1,11128.2,12.46,12.55,9.14183,15.3647,6.222869999999999,73.2051,25.01, -96, 83,5.41888,7.24584,-1.0229700000000017,625.5,3353.78,-57141.0
11059.2,11249.0,12.46,12.86,9.21425,25.2609,16.04665,189.932,0.405324, -96, -96,5.88474,100.0,-83.95335,0.164288,-151.898,-26425.7
11017.3,10761.9,16.61,15.82,12.1466,15.2307,3.084100000000001,255.448,1.55576, -98, -94,1.82941,100.0,-96.9159,2.42039,-440.179,2753.92
10836.7,10584.0,15.9,15.42,23.3863,25.3419,1.9556000000000004,252.865,2.38271, -97, -88,1.88379,51.0619,-49.106300000000005,5.67732,-318.106,1440.51
11060.8,10966.3,12.46,9.66,9.08039,25.451,16.37061,94.9105,3.27253, -96, -105,1.75825,98.6655,-82.29489,10.7095,-514.499,-53492.0
