Position - Rx,Position - Tx,Velocity - Rx,Velocity - Tx,Time Initial,Time Final,Time Communication,Distance,Relative Speed,Direction Rx,Direction Tx,Pseudo-angle,Link Lifetime,Time Prediction,A,B,C
3990.58,3810.78,0.0,10.62,14.4122,30.1572,15.745,181.355,10.62, 0, -118,0.789738,6.86443,8.880569999999999,112.784,3539.41,-29610.5
3990.33,3976.13,2.61,11.15,10.9757,30.0187,19.043,76.007,11.4541, -28, -118,6.90925,21.5404,-2.4974000000000025,131.195,-192.676,-56722.9
3990.58,3949.07,0.0,12.69,14.9739,30.1424,15.168499999999998,95.2176,12.69, 0, 151,2.07881,22.7698,-7.601300000000002,161.036,-1320.08,-53433.6
3121.95,3158.51,12.11,12.17,13.3597,30.0032,16.6435,111.225,24.28, -28, 151,6.3023,6.53254,10.110959999999999,589.518,3822.7,-50129.1
3131.24,3026.54,6.95,10.93,15.3963,30.1025,14.706199999999999,132.948,12.9585, -28, 61,1.67505,28.402,-13.695800000000002,167.922,-3191.09,-44824.9
3140.71,3101.5,9.07,0.0,15.7582,30.2175,14.4593,50.4667,9.07, -118, 0,1.4649,33.1275,-18.6682,82.2649,-915.466,-59953.1
3080.36,3202.96,11.57,11.09,10.9899,19.1333,8.143399999999998,122.623,15.9442, 151, 62,4.34884,7.99649,0.14690999999999832,254.218,3902.69,-47463.5
3043.01,3101.5,11.41,0.0,15.761,30.218,14.457,194.012,11.41, 151, 0,6.05714,25.3812,-10.924199999999999,130.188,-2324.9,-24859.2
3081.31,3133.26,11.57,10.17,10.8695,23.1129,12.2434,84.3678,15.249, 151, 62,3.31803,12.1525,0.09089999999999954,232.532,1731.42,-55382.1
3351.2,3302.35,8.81,10.24,11.0502,30.07,19.0198,49.2867,2.33847, 61, 50,1.29956,100.0,-80.9802,5.46844,-142.135,-60070.8
3355.33,3309.84,12.75,10.24,11.7832,30.0733,18.2901,203.064,17.8893, 151, 50,7.38889,21.2283,-2.938200000000002,320.028,-5791.92,-21265.0
3346.84,3233.44,13.34,0.0,13.9023,17.1045,3.2022000000000013,221.344,13.34, 151, 0,2.21134,3.08794,0.11426000000000114,177.956,3824.47,-13506.6
3513.88,3640.59,9.71,4.71,12.2018,30.0361,17.8343,139.971,5.00004, 61, 61,5.48883,77.9758,-60.14150000000001,25.0004,-1399.15,-42908.1
3028.79,3028.9,0.0,8.88,15.7576,30.0624,14.3048,140.995,8.88, 0, 151,6.52811,13.5357,0.7690999999999999,78.8544,2081.4,-42620.5
3028.79,3101.5,0.0,0.0,15.7621,30.2197,14.4576,226.794,0.0, 0, 0,2.94002,100.0,-85.5424,0.0,0.0,-11064.5
3887.02,3810.59,0.0,10.62,14.4322,18.1464,3.7142,216.595,10.62, 0, -118,2.20297,3.92573,-0.21153000000000022,112.784,3527.62,-15586.7
3886.99,3976.12,0.15,11.15,10.9764,30.0225,19.046100000000003,140.818,11.1551, -26, -118,3.67718,21.1008,-2.054699999999997,124.437,-603.513,-42670.2
2653.63,2541.82,9.82,4.48,12.1846,30.26,18.075400000000002,134.889,14.193, 61, -103,7.99206,11.4868,6.588600000000001,201.441,1543.1,-44305.0
2656.24,2753.15,9.82,8.94,12.4865,30.0524,17.5659,174.553,13.2334, 61, -28,6.01039,31.5134,-13.947500000000002,175.122,-4502.25,-32031.4
2895.71,2983.75,9.56,10.23,15.2006,30.1662,14.9656,88.5326,19.7899, 151, -28,4.70205,9.98316,4.98244,391.64,1565.61,-54662.0
2894.91,2908.27,9.56,10.91,15.438,30.0268,14.5888,76.7593,16.875, 151, -97,6.62438,19.3148,-4.726000000000001,284.765,-2569.39,-56608.0
3398.35,3219.54,11.95,11.65,12.9643,30.29,17.325699999999998,239.325,0.303215, 61, 61,1.46143,35.5773,-18.251600000000003,0.0919393,143.546,-5223.36
3177.31,3235.22,0.01,11.44,14.8009,30.2906,15.489700000000001,233.713,11.44, 152, 61,2.70714,21.051,-5.5612999999999975,130.875,-2380.79,-7878.28
3576.3,3640.64,5.84,4.71,12.2149,30.0395,17.8246,66.8954,9.30906, -174, 61,5.27324,20.1277,-2.3031000000000006,86.6586,1138.61,-58025.0
3642.2,3458.74,12.66,2.56,10.8888,30.0407,19.1519,189.156,10.1, -28, -28,0.539434,8.88719,10.264710000000001,102.011,2100.0,-26720.1
3151.89,3026.6,0.84,10.93,15.4026,29.5836,14.181000000000001,169.574,10.9691, 152, 61,7.81927,23.6515,-9.470499999999998,120.322,-1419.05,-33744.6
3820.68,3810.42,6.67,10.62,14.4512,30.231,15.779800000000002,145.254,12.5171, 151, -118,6.66388,29.1857,-13.405899999999999,156.678,-3154.22,-41401.3
3818.76,3949.06,6.67,12.69,14.9752,30.1429,15.167700000000002,155.292,6.02032, 151, 151,5.46994,32.0495,-16.8818,36.2442,36.0478,-38384.3
3494.15,3330.73,13.14,10.55,13.7682,30.0738,16.3056,201.062,17.3087, 151, 58,0.189486,26.0528,-9.747200000000003,299.591,-6957.9,-22074.0
3496.25,3459.14,13.14,0.11,13.2025,22.1659,8.9634,154.925,13.2499, 151, -30,2.58155,7.88474,1.0786600000000002,175.56,3498.37,-38498.2
3254.82,3233.44,10.6,0.0,14.8299,30.2705,15.440599999999998,148.749,10.6, 61, 0,7.101,22.3924,-6.9518,112.36,-712.993,-40373.7
3252.62,3282.5,10.6,0.08,14.6054,30.0349,15.4295,31.1987,10.52, 61, 63,5.30588,26.7124,-11.282899999999998,110.671,-652.989,-61526.6
3223.89,3028.9,0.0,8.88,15.7587,30.0713,14.312600000000002,196.626,8.88, 0, 151,0.395577,8.23299,6.079610000000002,78.8544,2246.23,-23838.1
2971.96,3026.63,9.07,10.93,15.4057,30.2256,14.8199,64.252,1.86, 61, 61,5.52437,99.8974,-85.0775,3.45961,238.71,-58371.7
2974.76,3028.89,9.07,8.88,15.7593,30.0786,14.319300000000002,183.95,12.6798, 61, 151,3.09974,22.6817,-8.362399999999997,160.777,-2383.02,-28662.3
2923.11,3101.5,6.51,0.0,15.7649,30.2203,14.455400000000001,183.645,6.51, 147, 0,4.72292,17.7173,-3.2619000000000007,42.3801,873.236,-28774.6
3156.33,3028.88,3.23,8.88,15.7616,30.0792,14.3176,157.496,5.65001, 151, 151,1.55612,36.5681,-22.250500000000002,31.9226,-136.535,-37694.9
2939.01,2771.6,4.97,9.77,12.2031,30.0918,17.8887,174.082,10.9253, -27, 61,0.533324,25.9725,-8.0838,119.361,-1860.51,-32195.5
2940.58,2984.03,0.18,10.23,15.2795,30.1669,14.887399999999998,131.668,10.05, -28, -28,3.45669,11.7743,3.1130999999999975,101.003,2646.52,-45163.6
2936.34,2943.02,9.47,9.96,11.2233,30.0273,18.804000000000002,19.3432,11.1258, -27, -97,3.50571,23.4039,-4.599899999999998,123.783,-242.483,-62125.8
2845.31,2984.04,10.7,10.23,15.283,30.1675,14.884500000000001,142.499,11.5031, -95, -28,4.53442,9.34844,5.536060000000001,132.322,3276.48,-42194.0
3135.55,3219.62,9.87,11.65,12.9741,21.6533,8.679200000000002,183.573,15.2668, 151, 61,3.07927,7.03988,1.6393200000000014,233.075,2450.29,-28800.9
3116.69,3101.5,10.34,0.0,15.7655,30.2209,14.455400000000001,32.6425,10.34, 151, 0,7.16098,27.2599,-12.804499999999997,106.916,-660.849,-61434.5
3118.73,3168.28,10.34,11.37,15.4577,19.6537,4.196,236.376,15.1574, 151, 63,2.62348,3.08424,1.1117599999999999,229.747,1439.79,-6626.16
3970.0,3976.11,13.76,11.15,10.9784,18.5697,7.5913,122.616,17.7228, 151, -118,2.7208,7.27943,0.31187000000000076,314.098,4234.0,-47465.2
3243.76,3101.5,12.19,0.0,15.7672,26.2253,10.4581,239.936,12.19, 61, 0,7.3539,7.54198,2.9161200000000003,148.596,-466.933,-4930.77
3189.75,3282.51,9.52,0.08,14.6409,18.0928,3.4519,229.452,9.59998, -118, 63,6.22967,2.76172,0.6901800000000002,92.1596,3312.66,-9851.57
3182.54,3026.64,11.46,10.93,15.407,30.2267,14.819700000000001,179.752,22.39, -118, 61,1.50963,19.1839,-4.3642,501.312,-8043.47,-30189.1
3934.32,3845.2,13.3,8.72,10.8368,30.2316,19.3948,132.902,16.3845, -28, -122,1.81525,11.0896,8.3052,268.45,1066.13,-44836.9
3947.9,3952.18,6.1,11.18,13.4071,30.1163,16.7092,12.3441,12.6761, -28, -117,3.22443,20.0134,-3.3042000000000016,160.685,-100.568,-62347.6
3950.47,3949.03,1.6,12.69,14.979,30.1436,15.1646,152.979,14.29, -28, 151,2.58448,25.7613,-10.596699999999998,204.204,-3742.86,-39097.5
3897.56,3952.05,7.86,11.18,13.4212,30.1169,16.695700000000002,116.153,13.6049, -28, -117,3.43585,21.6747,-4.978999999999999,185.092,-1750.73,-49008.4
3184.15,3155.41,11.09,12.17,13.9675,29.5855,15.618,215.102,16.4032, -118, 151,2.609,27.818,-12.200000000000001,269.065,-6901.36,-16231.1
3170.48,2984.04,10.93,10.23,15.2836,30.1681,14.8845,186.654,14.972, -118, -28,0.786808,27.875,-12.9905,224.161,-5256.17,-27660.4
3182.44,3233.44,11.13,0.0,14.1319,30.2733,16.141399999999997,51.6978,11.13, -118, 0,5.17413,17.8834,-1.7420000000000044,123.877,1130.06,-59827.3
3176.92,3282.51,11.13,0.08,14.6606,28.2276,13.566999999999998,165.902,11.21, -118, 63,3.8106,12.7394,0.8275999999999986,125.663,1144.66,-34976.6
3042.96,3203.42,12.78,11.43,11.0477,24.2308,13.183099999999998,162.275,17.1668, -28, 61,4.1767,12.8118,0.37129999999999797,294.699,-952.695,-36166.7
3082.3,3168.3,12.76,11.37,15.4594,30.4018,14.942400000000001,87.452,17.3435, -28, 63,4.13027,14.7102,0.23220000000000063,300.798,-695.941,-54852.1
2992.62,3101.5,0.16,0.0,15.7763,30.3139,14.5376,145.703,0.16, -117, 0,5.49653,100.0,-85.4624,0.0256,46.6167,-41270.7
2992.66,3168.3,0.16,11.37,15.46,23.2675,7.807499999999997,237.339,11.53, -117, 63,3.57435,5.63771,2.169789999999997,132.94,344.989,-6170.3
3036.34,2795.3,9.21,10.03,14.7793,30.0924,15.313100000000002,241.087,18.9282, -97, 61,1.0289,23.4505,-8.1374,358.276,-8215.1,-4377.18
3032.6,2984.05,9.45,10.23,15.285,30.1719,14.8869,197.472,11.1609, -97, -28,2.54549,12.2893,2.5976,124.566,381.781,-23504.7
3047.61,2926.82,9.0,10.57,13.2154,30.0315,16.8161,153.878,1.57057, -97, -97,1.86408,61.2221,-44.406,2.46668,483.092,-38821.4
2331.94,2324.25,10.32,9.78,10.3677,28.6909,18.3232,172.862,20.0998, -28, 151,2.68265,19.4433,-1.1201000000000008,404.004,-6177.52,-32618.9
2353.59,2539.08,10.64,0.0,15.4368,30.3882,14.951400000000001,236.033,10.64, -28, 0,3.96208,41.3177,-26.366300000000003,113.21,-4513.25,-6788.57
3940.12,3810.31,3.46,10.62,14.4636,30.2322,15.7686,134.042,11.1817, 151, -118,0.285488,14.285,1.4835999999999991,125.031,1331.38,-44532.7
3939.19,3949.03,3.46,12.69,14.98,30.1443,15.1643,30.0097,9.23, 151, 151,3.13272,30.2526,-15.0883,85.193,-541.146,-61599.4
3936.33,3809.85,0.0,10.62,14.5143,30.2327,15.7184,130.724,10.62, 0, -118,0.281586,13.2436,2.4748,112.784,1935.25,-45411.3
3937.0,3964.5,1.59,11.37,12.1483,30.1175,17.9692,130.232,11.5334, 150, -118,6.34127,29.2459,-11.276699999999998,133.019,-2333.13,-45539.7
3936.33,3949.02,0.0,12.69,14.9806,30.1449,15.164299999999999,29.7303,12.69, 0, 151,3.30529,22.0281,-6.8637999999999995,161.036,-750.165,-61616.1
2542.06,2539.08,0.0,0.0,15.4374,30.3893,14.951899999999998,3.39012,0.0, 0, 0,0.0971474,100.0,-85.0481,0.0,0.0,-62488.5
2542.06,2763.48,0.0,9.26,15.1735,30.063,14.889499999999998,227.099,9.26, 0, -28,5.09017,6.87163,8.017869999999998,85.7476,1000.78,-10926.0
3648.54,3640.66,5.0,4.71,12.2196,30.04,17.8204,13.0538,6.86092, 151, 61,2.02104,36.8399,-19.0195,47.0722,-42.2303,-62329.6
2993.58,3155.38,0.01,12.17,13.9728,30.2038,16.231,167.046,12.17, 61, 151,5.19321,18.0639,-1.8328999999999986,148.109,-760.251,-34595.7
2993.58,2757.39,0.01,8.68,13.5968,30.0636,16.4668,238.466,8.68006, 61, -28,0.96269,20.2263,-3.759499999999999,75.3435,-1245.38,-5633.87
3249.7,3203.22,10.23,11.43,11.0235,30.4111,19.3876,172.192,15.3123, -28, 61,2.07319,27.3127,-7.9251000000000005,234.467,-5201.18,-32850.0
